,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL(%),SYS_UTIL(%),IOW_UTIL(%),IDL_UTIL(%),CPU_UTIL(%)
0,4096,io_uring,128,randread,1,ssd,1,none,1223768150,1.1 GB,0,0.0 B,427916.107603,427.9 µs,0.0,0.0 ns,0.417037,0.70037,0.00037037,98.8841,1.11593
1,4096,io_uring,128,randread,1,zram,1,none,1493901668,1.4 GB,0,0.0 B,350582.487315,350.6 µs,0.0,0.0 ns,0.432727,1.24273,0.0659091,98.1223,1.87773
2,4096,io_uring,64,randread,1,ssd,1,none,1249217901,1.2 GB,0,0.0 B,209357.67421,209.4 µs,0.0,0.0 ns,0.373846,0.702308,0.000384615,98.9254,1.07462
3,4096,io_uring,64,randread,1,zram,1,none,1494226500,1.4 GB,0,0.0 B,175078.936917,175.1 µs,0.0,0.0 ns,0.445455,1.25818,0.0659091,98.0582,1.94182
4,4096,libaio,128,randread,1,ssd,1,none,1157010417,1.1 GB,0,0.0 B,452657.042823,452.7 µs,0.0,0.0 ns,0.451379,0.638621,0.000689655,98.9072,1.09276
5,4096,libaio,128,randread,1,zram,1,none,1203451310,1.1 GB,0,0.0 B,435316.449618,435.3 µs,0.0,0.0 ns,0.385926,0.694815,0.0,98.923,1.07704
6,4096,libaio,64,randread,1,ssd,1,none,1094294033,1.0 GB,0,0.0 B,225245.198283,225.2 µs,0.0,0.0 ns,0.48,0.636667,0.000333333,98.883,1.117
7,4096,libaio,64,randread,1,zram,1,none,1136084458,1.1 GB,0,0.0 B,215105.522188,215.1 µs,0.0,0.0 ns,0.353448,0.721379,0.000344828,98.9255,1.07448
8,4096,mmap,1,randread,1,ssd,1,none,56105226,53.5 MB,0,0.0 B,72567.148362,72.6 µs,0.0,0.0 ns,0.0283034,0.0782545,0.784176,99.112,0.888026
9,4096,mmap,1,randread,1,zram,1,none,670512418,639.5 MB,0,0.0 B,5775.018144,5.8 µs,0.0,0.0 ns,0.234902,0.780196,0.000196078,98.9865,1.01353
10,4096,sync,1,randread,1,ssd,1,none,59127566,56.4 MB,0,0.0 B,68707.55872,68.7 µs,0.0,0.0 ns,0.029069,0.0406897,0.822655,99.107,0.893034
11,4096,sync,1,randread,1,zram,1,none,1484286075,1.4 GB,0,0.0 B,2288.92258,2.3 µs,0.0,0.0 ns,0.488182,0.709091,0.0,98.8059,1.19409
12,4096,io_uring,128,randread,32,ssd,1,none,6221209192,5.8 GB,0,0.0 B,2442665.702725,2.4 ms,0.0,0.0 ns,3.505,4.09,18.9375,73.455,26.545
13,4096,io_uring,128,randread,32,zram,1,none,13144505879,12.2 GB,0,0.0 B,1164559.208673,1.2 ms,0.0,0.0 ns,7.07,32.315,0.005,60.605,39.395
14,4096,io_uring,64,randread,32,ssd,1,none,6306853591,5.9 GB,0,0.0 B,1237058.229636,1.2 ms,0.0,0.0 ns,3.4275,3.78,19.1825,73.5825,26.4175
15,4096,io_uring,64,randread,32,zram,1,none,12735262553,11.9 GB,0,0.0 B,605900.046094,605.9 µs,0.0,0.0 ns,6.81,36.085,0.0,57.095,42.905
16,4096,libaio,128,randread,32,ssd,1,none,6323102386,5.9 GB,0,0.0 B,2457576.431344,2.5 ms,0.0,0.0 ns,5.4375,8.5225,0.0,85.9625,14.0375
17,4096,libaio,128,randread,32,zram,1,none,19303223802,18.0 GB,0,0.0 B,724908.746096,724.9 µs,0.0,0.0 ns,10.83,14.28,0.0,74.88,25.12
18,4096,libaio,64,randread,32,ssd,1,none,6005897285,5.6 GB,0,0.0 B,1233471.873001,1.2 ms,0.0,0.0 ns,5.618,10.278,0.0,84.048,15.952
19,4096,libaio,64,randread,32,zram,1,none,17989391815,16.8 GB,0,0.0 B,322991.962691,323.0 µs,0.0,0.0 ns,8.92,15.93,0.0,75.14,24.86
20,4096,mmap,1,randread,32,ssd,1,none,1583836008,1.5 GB,0,0.0 B,81192.093578,81.2 µs,0.0,0.0 ns,0.726667,2.02,24.8967,72.351,27.649
21,4096,mmap,1,randread,32,zram,1,none,12558383906,11.7 GB,0,0.0 B,8323.855252,8.3 µs,0.0,0.0 ns,7.705,19.79,0.0,72.485,27.515
22,4096,sync,1,randread,32,ssd,1,none,1635788544,1.5 GB,0,0.0 B,77710.206023,77.7 µs,0.0,0.0 ns,0.6405,1.0105,26.102,72.2445,27.7555
23,4096,sync,1,randread,32,zram,1,none,24826400554,23.1 GB,0,0.0 B,3642.712663,3.6 µs,0.0,0.0 ns,,,,,
24,4096,io_uring,128,randread,64,ssd,1,none,6374719548,5.9 GB,0,0.0 B,4970672.780756,5.0 ms,0.0,0.0 ns,4.0575,5.675,34.5375,55.73,44.27
25,4096,io_uring,128,randread,64,zram,1,none,15625165242,14.6 GB,0,0.0 B,1875969.384216,1.9 ms,0.0,0.0 ns,10.07,25.07,0.0,64.85,35.15
26,4096,io_uring,64,randread,64,ssd,1,none,6354676968,5.9 GB,0,0.0 B,2510069.083772,2.5 ms,0.0,0.0 ns,3.285,5.7325,35.5625,55.415,44.585
27,4096,io_uring,64,randread,64,zram,1,none,14945514731,13.9 GB,0,0.0 B,999553.649487,999.6 µs,0.0,0.0 ns,13.38,25.34,0.0,61.28,38.72
28,4096,libaio,128,randread,64,ssd,1,none,5615253859,5.2 GB,0,0.0 B,5705110.107799,5.7 ms,0.0,0.0 ns,5.12,8.792,0.676,85.408,14.592
29,4096,libaio,128,randread,64,zram,1,none,20798873104,19.4 GB,0,0.0 B,1365085.702176,1.4 ms,0.0,0.0 ns,10.97,24.94,0.0,64.08,35.92
30,4096,libaio,64,randread,64,ssd,1,none,5980807374,5.6 GB,0,0.0 B,2488704.426593,2.5 ms,0.0,0.0 ns,4.032,10.848,0.0,85.116,14.884
31,4096,libaio,64,randread,64,zram,1,none,17530478759,16.3 GB,0,0.0 B,608787.277937,608.8 µs,0.0,0.0 ns,7.07,28.94,0.0,63.99,36.01
32,4096,mmap,1,randread,64,ssd,1,none,2803732220,2.6 GB,0,0.0 B,92359.991109,92.4 µs,0.0,0.0 ns,1.48364,4.22727,41.3945,52.8936,47.1064
33,4096,mmap,1,randread,64,zram,1,none,16161683145,15.1 GB,0,0.0 B,12801.565495,12.8 µs,0.0,0.0 ns,11.87,25.48,0.0,62.63,37.37
