,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
0,4096,mmap,1,randread,64,ssd,0,128M,134217728,2517934806,2.3 GB,0,0.0 B,92479.594557,92.5 µs,0.0,0.0 ns,1.32692,9.09538,37.6331,51.9369,48.0631
1,4096,mmap,1,randread,64,zram,0,128M,134217728,9678799540,9.0 GB,0,0.0 B,12633.67738,12.6 µs,0.0,0.0 ns,4.40667,41.0033,0.0,54.5867,45.4133
2,4096,mmap,1,randread,64,ssd,1,128M,134217728,2515354199,2.3 GB,0,0.0 B,92708.589901,92.7 µs,0.0,0.0 ns,1.42692,9.22385,37.3523,51.9923,48.0077
3,4096,mmap,1,randread,64,zram,1,128M,134217728,9316631878,8.7 GB,0,0.0 B,13066.049147,13.1 µs,0.0,0.0 ns,4.37,40.96,0.00333333,54.6633,45.3367
4,4096,mmap,1,randread,64,ssd,0,16M,16777216,2714039365,2.5 GB,0,0.0 B,92596.241024,92.6 µs,0.0,0.0 ns,1.41833,5.75083,40.5808,52.25,47.75
5,4096,mmap,1,randread,64,zram,0,16M,16777216,14292736425,13.3 GB,0,0.0 B,12067.296426,12.1 µs,0.0,0.0 ns,8.13,27.82,0.0,64.04,35.96
6,4096,mmap,1,randread,64,ssd,1,16M,16777216,2513146457,2.3 GB,0,0.0 B,92443.928113,92.4 µs,0.0,0.0 ns,1.30923,9.14769,37.4062,52.1369,47.8631
7,4096,mmap,1,randread,64,zram,1,16M,16777216,9651611901,9.0 GB,0,0.0 B,12924.769212,12.9 µs,0.0,0.0 ns,4.47,40.8567,0.0,54.67,45.33
8,4096,mmap,1,randread,64,ssd,0,1G,1073741824,2517381373,2.3 GB,0,0.0 B,92662.130488,92.7 µs,0.0,0.0 ns,1.34538,9.11077,37.3238,52.2162,47.7838
9,4096,mmap,1,randread,64,zram,0,1G,1073741824,9887694494,9.2 GB,0,0.0 B,12172.694731,12.2 µs,0.0,0.0 ns,2.67,39.725,0.0,57.6,42.4
10,4096,mmap,1,randread,64,ssd,1,1G,1073741824,2511860396,2.3 GB,0,0.0 B,92783.906947,92.8 µs,0.0,0.0 ns,1.39538,9.30769,37.2062,52.09,47.91
11,4096,mmap,1,randread,64,zram,1,1G,1073741824,9573624510,8.9 GB,0,0.0 B,12700.235076,12.7 µs,0.0,0.0 ns,4.23,41.1567,0.0,54.61,45.39
12,4096,mmap,1,randread,64,ssd,0,256M,268435456,2513330288,2.3 GB,0,0.0 B,92606.707765,92.6 µs,0.0,0.0 ns,1.33538,9.12462,37.4031,52.1323,47.8677
13,4096,mmap,1,randread,64,zram,0,256M,268435456,8555711745,8.0 GB,0,0.0 B,14365.40529,14.4 µs,0.0,0.0 ns,3.48333,41.52,0.0,54.9933,45.0067
