,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
0,4096,io_uring,128,randread,1,ram,0,none,1801674708,1.7 GB,0,0.0 B,290705.622,290.7 µs,0.0,0.0 ns,0.488333,0.708889,0.0,98.8056,1.19444
1,4096,io_uring,64,randread,1,ram,0,none,1811076236,1.7 GB,0,0.0 B,144447.843502,144.4 µs,0.0,0.0 ns,0.536667,0.695,0.000555556,98.7694,1.23056
2,4096,libaio,128,randread,1,ram,0,none,1600509519,1.5 GB,0,0.0 B,327264.070577,327.3 µs,0.0,0.0 ns,0.528,0.7175,0.0025,98.7545,1.2455
3,4096,libaio,64,randread,1,ram,0,none,1575195450,1.5 GB,0,0.0 B,166107.423581,166.1 µs,0.0,0.0 ns,0.607143,0.718095,0.0,98.6752,1.32476
4,4096,mmap,1,randread,1,ram,0,none,3097983803,2.9 GB,0,0.0 B,846.695422,846.7 ns,0.0,0.0 ns,1.31364,0.160909,0.0,98.5264,1.47364
5,4096,sync,1,randread,1,ram,0,none,1990253612,1.9 GB,0,0.0 B,1625.112392,1.6 µs,0.0,0.0 ns,0.7175,0.70875,0.000625,98.5762,1.42375
6,4096,io_uring,128,randread,32,ram,0,none,29544057066,27.5 GB,0,0.0 B,467836.783061,467.8 µs,0.0,0.0 ns,,,,,
7,4096,io_uring,64,randread,32,ram,0,none,29020049297,27.0 GB,0,0.0 B,238774.645345,238.8 µs,0.0,0.0 ns,,,,,
8,4096,libaio,128,randread,32,ram,0,none,25718367041,24.0 GB,0,0.0 B,548675.804169,548.7 µs,0.0,0.0 ns,,,,,
9,4096,libaio,64,randread,32,ram,0,none,25912321544,24.1 GB,0,0.0 B,270934.559763,270.9 µs,0.0,0.0 ns,,,,,
10,4096,mmap,1,randread,32,ram,0,none,37025580137,34.5 GB,0,0.0 B,2178.443257,2.2 µs,0.0,0.0 ns,,,,,
11,4096,sync,1,randread,32,ram,0,none,32848698248,30.6 GB,0,0.0 B,2786.795215,2.8 µs,0.0,0.0 ns,,,,,
12,4096,io_uring,128,randread,64,ram,0,none,31207755102,29.1 GB,0,0.0 B,872461.303742,872.5 µs,0.0,0.0 ns,,,,,
13,4096,io_uring,64,randread,64,ram,0,none,31992307605,29.8 GB,0,0.0 B,420155.800447,420.2 µs,0.0,0.0 ns,,,,,
14,4096,libaio,128,randread,64,ram,0,none,29217464598,27.2 GB,0,0.0 B,961067.2207,961.1 µs,0.0,0.0 ns,,,,,
15,4096,libaio,64,randread,64,ram,0,none,30087336574,28.0 GB,0,0.0 B,463804.743337,463.8 µs,0.0,0.0 ns,,,,,
16,4096,mmap,1,randread,64,ram,0,none,40139881271,37.4 GB,0,0.0 B,4719.302792,4.7 µs,0.0,0.0 ns,,,,,
17,4096,sync,1,randread,64,ram,0,none,35532304413,33.1 GB,0,0.0 B,5042.0381,5.0 µs,0.0,0.0 ns,,,,,
18,4096,io_uring,128,randread,96,ram,0,none,33423742505,31.1 GB,0,0.0 B,1226938.490009,1.2 ms,0.0,0.0 ns,,,,,
19,4096,io_uring,64,randread,96,ram,0,none,36092024470,33.6 GB,0,0.0 B,538645.754816,538.6 µs,0.0,0.0 ns,,,,,
20,4096,libaio,128,randread,96,ram,0,none,30678220800,28.6 GB,0,0.0 B,1347266.152262,1.3 ms,0.0,0.0 ns,,,,,
21,4096,libaio,64,randread,96,ram,0,none,31179316965,29.0 GB,0,0.0 B,656338.987434,656.3 µs,0.0,0.0 ns,,,,,
22,4096,mmap,1,randread,96,ram,0,none,45509413637,42.4 GB,0,0.0 B,5803.094122,5.8 µs,0.0,0.0 ns,,,,,
23,4096,sync,1,randread,96,ram,0,none,39953031739,37.2 GB,0,0.0 B,6386.028593,6.4 µs,0.0,0.0 ns,,,,,
24,4096,io_uring,128,randrw,1,ram,0,none,888902770,847.7 MB,888539595,847.4 MB,292275.837219,292.3 µs,296941.566527,296.9 µs,0.575,1.61944,0.0,97.7533,2.24667
25,4096,io_uring,64,randrw,1,ram,0,none,913912320,871.6 MB,913538927,871.2 MB,141068.46419,141.1 µs,145137.067993,145.1 µs,0.56,1.54667,0.0,97.81,2.19
26,4096,libaio,128,randrw,1,ram,0,none,736188657,702.1 MB,735887875,701.8 MB,355694.419234,355.7 µs,355886.199472,355.9 µs,0.541364,0.702727,0.000909091,98.7555,1.24455
27,4096,libaio,64,randrw,1,ram,0,none,731145411,697.3 MB,730846690,697.0 MB,178826.334965,178.8 µs,179085.633666,179.1 µs,0.475,0.717727,0.0,98.8091,1.19091
28,4096,mmap,1,randrw,1,ram,0,none,1289172440,1.2 GB,1288645728,1.2 GB,1074.294121,1.1 µs,952.489543,952.5 ns,1.26692,0.225385,0.0,98.5077,1.49231
29,4096,sync,1,randrw,1,ram,0,none,916251437,873.8 MB,915877088,873.4 MB,1680.611256,1.7 µs,1892.051351,1.9 µs,0.530556,0.715,0.00111111,98.7561,1.24389
30,4096,io_uring,128,randrw,32,ram,0,none,9151408895,8.5 GB,9154258855,8.5 GB,862309.466949,862.3 µs,886558.490355,886.6 µs,10.67,20.29,0.02,69.02,30.98
31,4096,io_uring,64,randrw,32,ram,0,none,9376197868,8.7 GB,9379117834,8.7 GB,423741.190843,423.7 µs,439022.864123,439.0 µs,10.35,19.7,0.0,69.94,30.06
32,4096,libaio,128,randrw,32,ram,0,none,11383164013,10.6 GB,11386708994,10.6 GB,634018.397691,634.0 µs,635142.526062,635.1 µs,8.35,14.3,0.0,77.35,22.65
