,crw,cdevice,readBW,writeBW,avgreadlat,avgwritelat
0,randread,ssd,5.2 GB,0.0 B,5.7 ms,0.0 ns
1,randread,zram,19.4 GB,0.0 B,1.4 ms,0.0 ns
2,randrw,ssd,1.6 GB,1.6 GB,9.5 ms,9.9 ms
3,randrw,zram,1.7 GB,1.7 GB,8.7 ms,8.8 ms
4,randwrite,ssd,0.0 B,2.2 GB,0.0 ns,13.9 ms
5,randwrite,zram,0.0 B,1.9 GB,0.0 ns,15.3 ms
6,read,ssd,5.5 GB,0.0 B,5.4 ms,0.0 ns
7,read,zram,24.5 GB,0.0 B,1.1 ms,0.0 ns
8,rw,ssd,1.6 GB,1.6 GB,9.5 ms,9.6 ms
9,rw,zram,1.7 GB,1.7 GB,8.6 ms,8.7 ms
10,write,ssd,0.0 B,2.2 GB,0.0 ns,14.0 ms
11,write,zram,0.0 B,2.0 GB,0.0 ns,14.4 ms
